m;19;735098;
m;19;735098;
m;19;735098;
m;19;735098;
m;18;735098;
m;18;735098;
m;18;735098;
m;18;735098;
m;17;735098;
m;17;735098;
m;17;735098;
m;15;735098;
m;14;735098;
m;14;735098;
m;14;735098;
m;12;735098;
m;11;735098;
m;11;735098;
m;11;735098;
m;9;735098;
m;8;735098;
m;8;735098;
m;8;735098;
m;8;735098;
m;7;735098;
m;7;735098;
m;7;735098;
m;7;735098;
m;6;735098;
m;6;735098;
m;6;735098;
m;6;735098;
m;6;735098;
m;5;735098;
m;4;735098;
m;4;735098;
m;4;735098;
m;4;735098;
m;4;735098;
m;4;735098;
m;2;735098;
m;2;735098;
m;2;735098;
m;1;735098;
m;1;735098;
m;1;735098;
m;1;735098;
m;1;735098;
m;0;735098;
m;0;735098;
